Customer ID,Name,Address,Engagement Score,Satisfaction Level,Role within Service,Action Intent,Has Bought,Date
9965,William Kramer,"6933 Melissa Rest, Andersonbury, MA 20335",458.8309521,72.04137133,owner,lawyer,TRUE,"27,5,2013"
1044,Mary Harrington,"731 Carlson Village, New Laurenburgh, NH 14166",658.8748471,51.52114233,myself,go,FALSE,"26,9,2012"
5265,Tara Carter,"5270 Bryant Point Apt. 422, East Tonyborough, OH 30394",972.420271,24.02560241,when,visit,FALSE,"26,6,2013"
4853,Teresa Perkins,"111 John Ways, South Davidfurt, MA 39654",132.5001248,93.77232927,begin,support,TRUE,"1,10,2018"
1303,Savannah Bowers,"USS Hall, FPO AP 14539",664.7009999,16.46063055,pick,degree,TRUE,"15,8,2018"
1143,Anthony Johnson,"PSC 9652, Box 5249, APO AE 41507",,98.7047253,per,staff,TRUE,"5,6,2014"
7853,Steven Medina,"055 Edwin Plains, West Jeffreytown, OH 39549",639.2071648,22.59384132,life,forget,TRUE,"12,2,2015"
6408,Timothy Garcia,"07972 Lopez Canyon Suite 218, South Brandonborough, KS 81466",206.5377829,49.97730212,travel,girl,FALSE,"17,7,2019"
9051,Cody Pratt,"8487 Brian Mountain, Lake James, MT 77100",498.2035479,28.80024961,clearly,society,FALSE,"1,11,2018"
1156,Kimberly Anderson,"5114 Mcclain Lane, Youngview, KY 83551",889.4970113,27.085743,Republican,few,TRUE,"17,12,2015"
4798,Olivia Wilson,"5145 Kenneth Gardens, East Johnmouth, VA 18437",409.7792629,45.60904824,,partner,FALSE,"4,12,2014"
8282,Andrea Benton,"7941 Scott Underpass, Janetville, KS 11583",383.0425024,13.03365144,work,challenge,TRUE,"17,4,2022"
2410,Daniel Phillips,"9566 Randall Meadow, Jennifertown, LA 61829",230.2268263,22.60319876,computer,this,TRUE,"2,10,2012"
8469,Erik Turner,"44259 Allen Hill, Guzmanport, ME 62473",749.9579046,91.12248319,detail,community,FALSE,"24,7,2019"
8167,Jennifer Moody,"USS Patel, FPO AP 02442",981.233374,35.51810135,why,question,TRUE,"1,10,2013"
7847,Richard Tucker,"383 Troy Cliffs Apt. 045, Valdezborough, NV 20555",116.2782603,13.60616867,few,little,TRUE,"22,10,2020"
8765,Thomas Munoz,"98942 Marsh Forges, Lisastad, CA 88823",257.0347128,98.57875791,behind,receive,FALSE,"23,7,2017"
1385,Julie Wang,"7319 Gonzales Path, West Michael, CA 71828",847.9524424,82.06512977,poor,person,FALSE,"10,6,2011"
6033,Lindsey Moore,"5312 Underwood Throughway Suite 275, Davidview, NC 38711",500.1187821,86.41426892,season,activity,FALSE,"13,8,2011"
5285,Travis Gibson,"54384 Alan Canyon, Nicoleport, WI 98024",842.6375517,88.16928563,establish,deep,TRUE,"18,5,2010"
8283,Kristin Moore DDS,"184 Webb Streets, North Maria, MI 05689",,79.2058119,per,economic,FALSE,"8,8,2017"
3945,Michelle Lee,"71134 Stephen Park Apt. 745, West Mitchell, WV 42153",923.0892596,21.92180735,you,tough,TRUE,"8,2,2018"
2118,Veronica Jordan,"0231 Smith Dale, South Nicholasshire, WY 97685",992.1456828,,teach,knowledge,FALSE,"8,5,2017"
9538,Brett Nguyen,"713 Eugene Inlet, West Jesseview, NH 59177",107.6918722,93.20946241,pick,painting,FALSE,"16,8,2017"
2609,Madeline Rodgers,"5538 Gonzalez Ville, Silvaberg, IL 45716",655.2078154,82.03019868,others,task,TRUE,"1,11,2022"
3638,Robin Thompson,"750 Calderon Passage, Moralesmouth, IL 46355",219.6477578,77.28899714,among,probably,FALSE,"20,2,2013"
7947,Mark Clark,"049 Donna Mountains, East Craig, MS 48661",187.8104372,96.95236308,thought,end,TRUE,"10,8,2012"
5577,Nicholas Barrett,"53911 Thompson Estates Suite 887, Dickersonberg, SD 80029",465.6024645,75.64775735,able,popular,TRUE,"17,10,2010"
3298,Valerie Peterson,"9067 Peck Highway Apt. 453, New Brittany, SD 79591",127.7552031,96.25507582,,space,TRUE,"16,10,2019"
7954,Alan Smith,"93959 Luis Rue, Gabrielhaven, KY 21209",885.2434608,62.80521563,may,modern,,"24,3,2020"
9599,Kathryn Foster,"674 Chad Motorway Apt. 302, Emmaberg, VT 83408",953.3720462,97.48853466,able,apply,FALSE,"26,6,2016"
6159,Paige Cameron,"0407 Hunter Park, West Kennethborough, ID 97346",997.6543625,46.73454441,minute,third,FALSE,"14,3,2010"
7135,James Lopez,"USCGC Smith, FPO AP 92703",618.0227583,22.64729044,,machine,,"1,1,2019"
9651,Jillian Quinn,"53794 Amy Square, Port Yolandaberg, MD 62037",153.1332619,31.06869399,conference,year,FALSE,"13,3,2016"
4556,Grace Livingston,"02751 Steven Wells Apt. 768, Lake Julia, ME 73889",552.2773921,92.42426798,guess,per,FALSE,"4,12,2018"
2468,Bobby Stein,"253 Manuel Overpass Apt. 199, Belindaburgh, MN 28761",925.4670427,69.61436501,happen,talk,FALSE,"7,9,2013"
7969,Lisa Smith,"8868 Gibbs Parkway Apt. 534, New Laurie, KS 51577",207.8396765,14.44323567,eye,may,TRUE,"19,2,2014"
3672,Cheryl Dean,"522 Stephen Islands Apt. 719, Brittanyside, NJ 07513",302.491843,33.5951866,report,financial,TRUE,"9,6,2018"
6866,Tammy Edwards,"3554 Amy Meadow Apt. 513, Tannerville, TN 89992",235.1124591,,population,relate,TRUE,"11,9,2013"
6455,Taylor Mitchell,"2600 Sloan Club Apt. 390, Harrismouth, OH 86709",615.4256338,27.83734579,listen,artist,FALSE,"17,6,2015"
3819,Emily Lopez,"4335 Colleen Spring, Danielhaven, DC 97526",901.7731168,,condition,road,TRUE,"14,4,2010"
8382,Daisy Hawkins,"7873 Williams Plaza Suite 993, Jesseshire, SD 11536",660.4963603,93.34686228,check,protect,TRUE,"11,3,2019"
3831,Darlene Montgomery,"84227 Wade Extension, West Maria, UT 63202",776.8475103,52.83309008,form,have,FALSE,"24,12,2019"
7237,Melissa Martinez,"5824 Collins Village, Poolefurt, NM 33295",482.99316,48.67214757,soon,turn,FALSE,"20,3,2017"
4478,Shawn Green,"97572 Sarah Parkways, South Victorshire, DC 70404",798.112113,21.49728025,market,nice,TRUE,"11,7,2014"
8913,Jesse Rangel,"75680 Hardy Plaza Apt. 921, Douglasport, NC 52491",129.7581578,42.75497708,say,huge,,"18,12,2014"
6766,Angela Schultz,"6955 Samuel Islands, Reedhaven, PA 75311",554.4862325,18.58202488,present,career,,"8,7,2013"
2586,Louis Bond,"68783 Beck Estate Suite 025, West Tara, MS 25837",976.3178698,20.67105278,want,natural,TRUE,"11,10,2021"
3280,Mitchell Huang,"2331 Roman Freeway Suite 055, Campbellhaven, MD 38176",820.3559541,55.1840641,direction,property,FALSE,"15,11,2020"
3655,Alyssa Frazier,"096 Jennifer Overpass Apt. 428, Davisside, FL 11589",314.8814422,98.01088261,near,country,TRUE,"13,8,2011"
1988,Michelle Acosta,"3353 Hannah Square Apt. 666, Balltown, LA 40902",228.9309747,99.60863826,large,career,FALSE,"10,1,2019"
6716,Haley Hansen,"648 Lara Ville, Kingburgh, CT 64498",641.3298453,42.20154514,need,international,TRUE,"19,5,2014"
9034,David Gray,"19278 John Field Apt. 900, East Jonathan, NY 68127",952.8301387,12.51377271,risk,issue,TRUE,"24,8,2018"
9183,Michael Wagner,"880 Stewart Lodge, Greenefurt, NM 34488",833.3807017,94.57089705,born,figure,FALSE,"23,9,2017"
2432,Veronica Howard,"07369 Antonio Viaduct Apt. 099, Heatherport, KY 19987",252.0249333,50.55549477,recognize,explain,,"16,9,2012"
1983,William Wiley,"60730 Nancy Rue, West James, RI 70643",,14.96022068,another,character,FALSE,"22,1,2012"
5028,Monica Howard,"74519 Angela Summit Apt. 768, East Joshua, CT 41552",345.0640706,47.27640178,yeah,year,FALSE,"8,5,2022"
1554,Jeremy Edwards,"50250 Colton Way, North Kevinburgh, MN 77883",291.1171457,68.52640779,ahead,issue,TRUE,"12,4,2011"
